{'fs': 5000, 'Rest2_Dur': 15, 'Left_Dur': 15, 'RightLED4Hz': 15, 'Right_Dur': 15, 'LeftLED3Hz': 17, 'task': '17_15Hz', 'start_eeg_index': 0, 'EEG_SYSTEM': 'brain_amp', 'Rest1_Dur': 15, 'StartTime': 1501862965.835}
{'end_left_time': 1501862981.836, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863029.839, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501862966.835, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863014.838, 'end_left_eeg_index': 0, 'end_right_time': 1501863013.838, 'start_right_time': 1501862998.837, 'trial_index': 0, 'start_rest1_time': 1501862982.836, 'end_rest1_time': 1501862997.837}
{'end_left_time': 1501863045.839, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863093.842, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863030.839, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863078.841, 'end_left_eeg_index': 0, 'end_right_time': 1501863077.841, 'start_right_time': 1501863062.84, 'trial_index': 1, 'start_rest1_time': 1501863046.84, 'end_rest1_time': 1501863061.84}
{'end_left_time': 1501863109.843, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863157.846, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863094.842, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863142.845, 'end_left_eeg_index': 0, 'end_right_time': 1501863141.845, 'start_right_time': 1501863126.844, 'trial_index': 2, 'start_rest1_time': 1501863110.843, 'end_rest1_time': 1501863125.844}
{'end_left_time': 1501863173.848, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863221.851, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863158.847, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863206.85, 'end_left_eeg_index': 0, 'end_right_time': 1501863205.85, 'start_right_time': 1501863190.849, 'trial_index': 3, 'start_rest1_time': 1501863174.848, 'end_rest1_time': 1501863189.849}
{'end_left_time': 1501863237.851, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863285.854, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863222.851, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863270.853, 'end_left_eeg_index': 0, 'end_right_time': 1501863269.853, 'start_right_time': 1501863254.852, 'trial_index': 4, 'start_rest1_time': 1501863238.851, 'end_rest1_time': 1501863253.852}
{'end_left_time': 1501863301.855, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863349.858, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863286.854, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863334.857, 'end_left_eeg_index': 0, 'end_right_time': 1501863333.857, 'start_right_time': 1501863318.856, 'trial_index': 5, 'start_rest1_time': 1501863302.855, 'end_rest1_time': 1501863317.856}
{'end_left_time': 1501863365.859, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863413.861, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863350.858, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863398.861, 'end_left_eeg_index': 0, 'end_right_time': 1501863397.861, 'start_right_time': 1501863382.86, 'trial_index': 6, 'start_rest1_time': 1501863366.859, 'end_rest1_time': 1501863381.86}
{'end_left_time': 1501863429.862, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863477.866, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863414.862, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863462.865, 'end_left_eeg_index': 0, 'end_right_time': 1501863461.864, 'start_right_time': 1501863446.863, 'trial_index': 7, 'start_rest1_time': 1501863430.862, 'end_rest1_time': 1501863445.863}
{'end_left_time': 1501863493.868, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863541.873, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863478.866, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863526.872, 'end_left_eeg_index': 0, 'end_right_time': 1501863525.872, 'start_right_time': 1501863510.871, 'trial_index': 8, 'start_rest1_time': 1501863494.87, 'end_rest1_time': 1501863509.871}
{'end_left_time': 1501863557.874, 'end_rest1_eeg_index': 0, 'end_rest2_time': 1501863605.876, 'end_right_eeg_index': 0, 'start_rest2_eeg_index': 0, 'start_left_time': 1501863542.873, 'start_left_eeg_index': 0, 'start_right_eeg_index': 0, 'end_rest2_eeg_index': 0, 'start_rest1_eeg_index': 0, 'start_rest2_time': 1501863590.876, 'end_left_eeg_index': 0, 'end_right_time': 1501863589.876, 'start_right_time': 1501863574.875, 'trial_index': 9, 'start_rest1_time': 1501863558.874, 'end_rest1_time': 1501863573.875}
